cost_pips,ev_lcb,exit,min_or_atr_ratio,or_atr_ratio,pnl_pips,rv_band,side,sl_pips,slip_est,slip_real,spread_band,stage,tp_pips,ts
,,,,,,,,,,,,no_breakout,,2018-01-01 22:00:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:05:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:10:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:15:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:20:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:25:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:30:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:35:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:40:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:45:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:50:00
,,,,,,,,,,,,no_breakout,,2018-01-01 22:55:00
,,,,,,,,,,,,no_breakout,,2018-01-01 23:00:00
,,,0.6,0.0,,,BUY,,,,,or_filter,,2018-01-01 23:05:00
,,,,,,,,,,,,no_breakout,,2018-01-01 23:10:00
,,,,,,,,,,,,no_breakout,,2018-01-01 23:15:00
,,,,2.832369942196532,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:20:00
,,,,2.916666666666585,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:25:00
,,,,3.2026143790848685,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:30:00
,,,,3.363844393592604,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:35:00
,,,,3.223684210526316,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:40:00
,,,,3.2885906040268456,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:45:00
,,,,3.340909090909019,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:50:00
,,,,3.410672853828231,,high,BUY,,,,narrow,gate_block,,2018-01-01 23:55:00
,,,,3.2885906040268456,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:00:00
,,,,3.1749460043196223,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:05:00
,,,,3.6296296296296298,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:10:00
,,,,3.7789203084833365,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:15:00
,,,,3.858267716535577,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:20:00
,,,,3.759590792839102,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:25:00
,,,,3.8684210526317715,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:30:00
,,,,4.298245614035445,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:35:00
,,,,4.336283185841071,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:40:00
,,,,4.608150470219778,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:45:00
,,,,5.017064846416706,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:50:00
,,,,4.551083591331536,,high,BUY,,,,narrow,gate_block,,2018-01-02 00:55:00
,,,,4.401197604790731,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:00:00
,,,,3.930481283422659,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:05:00
,,,,3.611793611793654,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:10:00
,,,,3.5,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:15:00
,,,,3.43457943925226,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:20:00
,,,,3.4426229508196338,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:25:00
,,,,3.3793103448275863,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:30:00
,,,,3.475177304964422,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:35:00
,,,,3.5853658536584536,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:40:00
,,,,3.4999999999998814,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:45:00
,,,,3.4834123222748032,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:50:00
,,,,3.356164383561535,,high,BUY,,,,narrow,gate_block,,2018-01-02 01:55:00
,,,,3.3870967741934743,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:00:00
,,,,3.5251798561149874,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:05:00
,,,,3.6206896551723715,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:10:00
,,,,4.005449591280602,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:15:00
,,,,4.401197604790356,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:20:00
,,,,4.593750000000068,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:25:00
,,,,4.696485623003337,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:30:00
,,,,4.803921568627675,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:35:00
,,,,5.212765957447072,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:40:00
,,,,5.034246575342874,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:45:00
,,,,4.93288590604066,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:50:00
,,,,5.231316725979,,high,BUY,,,,narrow,gate_block,,2018-01-02 02:55:00
,,,,5.2877697841727525,,high,BUY,,,,narrow,gate_block,,2018-01-02 03:00:00
,,,,5.034246575342629,,high,BUY,,,,narrow,gate_block,,2018-01-02 03:05:00
